Time [s],Packet ID,MOSI,MISO
0.673997680000000,,0x00,0xFF	инициализация
0.674006100000000,,0xFF,0xFF	
0.674010100000000,,0xFF,0xFF
0.674014100000000,,0xFF,0xFF
0.674018100000000,,0xFF,0xFF
0.674022100000000,,0xFF,0xFF
0.674026100000000,,0xFF,0xFF
0.674030100000000,,0xFF,0xFF
0.674034100000000,,0xFF,0xFF
0.674038100000000,,0xFF,0xFF
0.674042100000000,,0xFF,0xFF
0.674046100000000,,0xFF,0xFF
0.674050100000000,,0xFF,0xFF
0.674054100000000,,0xFF,0xFF
0.674058100000000,,0xFF,0xFF
0.674062100000000,,0xFF,0xFF
0.674066100000000,,0xFF,0xFF
0.674070100000000,,0xFF,0xFF
0.674074100000000,,0xFF,0xFF
0.674078100000000,,0xFF,0xFF
0.674082100000000,,0xFF,0xFF
0.674086100000000,,0xFF,0xFF
0.674090100000000,,0xFF,0xFF
0.674094100000000,,0xFF,0xFF
0.674098100000000,,0xFF,0xFF
0.674102100000000,,0xFF,0xFF
0.674106100000000,,0xFF,0xFF
0.674110100000000,,0xFF,0xFF
0.674114100000000,,0xFF,0xFF
0.674118100000000,,0xFF,0xFF
0.674122100000000,,0xFF,0xFF
0.674126100000000,,0xFF,0xFF
0.674130100000000,,0xFF,0xFF
0.674151400000000,,0x40,0xFF	CMD00 GO_IDLE_STATE
0.674154400000000,,0x00,0xFF	команда сброса и перевода карты в SPI режим
0.674157400000000,,0x00,0xFF	
0.674160400000000,,0x00,0xFF	
0.674163400000000,,0x00,0xFF	
0.674166400000000,,0x95,0xFF	
0.674176400000000,,0xFF,0xFF
0.674181960000000,,0xFF,0x01
0.674187540000000,,0xFF,0xFF
0.674215960000000,,0x48,0xFF	CMD08 SEND_IF_COND
0.674218960000000,,0x00,0xFF	запрос поддерживаемых напряжений
0.674221960000000,,0x00,0xFF	
0.674224960000000,,0x01,0xFF	
0.674227960000000,,0xAA,0xFF	
0.674230960000000,,0x87,0xFF	
0.674240960000000,,0xFF,0xFF
0.674246540000000,,0xFF,0x01\данные
0.674252120000000,,0xFF,0x00
0.674258960000000,,0xFF,0x00
0.674261260000000,,0xFF,0x01/
0.674263540000000,,0xFF,0xAA
0.674265820000000,,0xFF,0xFF
0.674287980000000,,0x77,0xFF	CMD_55 APP_CMD
0.674290260000000,,0x00,0xFF
0.674292540000000,,0x00,0xFF
0.674294820000000,,0x00,0xFF
0.674297120000000,,0x00,0xFF
0.674299400000000,,0xFF,0xFF
0.674309400000000,,0xFF,0xFF
0.674314980000000,,0xFF,0x01
0.674320540000000,,0xFF,0xFF
0.674328400000000,,0x69,0xFF	ACMD_41 SD_SEND_OP_COND
0.674330680000000,,0x40,0xFF
0.674332980000000,,0x00,0xFF
0.674335260000000,,0x00,0xFF
0.674337540000000,,0x00,0xFF
0.674340260000000,,0xFF,0xFF
0.674348840000000,,0xFF,0xFF
0.674354400000000,,0xFF,0x01
0.674359980000000,,0xFF,0xFF
0.674384980000000,,0x77,0xFF	CMD_55 APP_CMD
0.674387260000000,,0x00,0xFF
0.674389540000000,,0x00,0xFF
0.674391840000000,,0x00,0xFF
0.674394120000000,,0x00,0xFF
0.674396400000000,,0xFF,0xFF
0.674406400000000,,0xFF,0xFF
0.674411980000000,,0xFF,0x01
0.674417540000000,,0xFF,0xFF
0.674425400000000,,0x69,0xFF	ACMD_41 SD_SEND_OP_COND
0.674427700000000,,0x40,0xFF
0.674429980000000,,0x00,0xFF
0.674432260000000,,0x00,0xFF
0.674434540000000,,0x00,0xFF
0.674437260000000,,0xFF,0xFF
0.674445840000000,,0xFF,0xFF
0.674451400000000,,0xFF,0x00
0.674456980000000,,0xFF,0xFF
0.674481260000000,,0x7B,0xFF	CMD_59 CRC_ON_OFF
0.674483560000000,,0x00,0xFF
0.674485840000000,,0x00,0xFF
0.674488120000000,,0x00,0xFF
0.674490400000000,,0x00,0xFF
0.674492700000000,,0xFF,0xFF
0.674502700000000,,0xFF,0xFF
0.674508260000000,,0xFF,0x00
0.674513840000000,,0xFF,0xFF
0.674539120000000,,0x50,0xFF	CMD16 SET_BLOCKEN
0.674542120000000,,0x00,0xFF	команда изменения размера блока
0.674545120000000,,0x00,0xFF
0.674548120000000,,0x02,0xFF
0.674551120000000,,0x00,0xFF
0.674554120000000,,0xFF,0xFF
0.674564120000000,,0xFF,0xFF
0.674569700000000,,0xFF,0x00
0.674575260000000,,0xFF,0xFF
0.674600980000000,,0x7A,0xFF	CMD_58 READ_OCR
0.674603280000000,,0x00,0xFF
0.674605560000000,,0x00,0xFF
0.674607840000000,,0x00,0xFF
0.674610120000000,,0x00,0xFF
0.674612420000000,,0xFF,0xFF
0.674622420000000,,0xFF,0xFF
0.674627980000000,,0xFF,0x00\OCR
0.674633560000000,,0xFF,0xC0
0.674640420000000,,0xFF,0xFF
0.674642700000000,,0xFF,0x80/
0.674644980000000,,0xFF,0x00
0.674647280000000,,0xFF,0xFF
0.674659560000000,,0x00,0xFF
0.674704140000000,,0x52,0xFF	CMD_18 READ_MULTIPLE_BLOCK
0.674706420000000,,0x00,0xFF
0.674708700000000,,0x00,0xFF
0.674711000000000,,0x00,0xFF
0.674713280000000,,0x02,0xFF
0.674716000000000,,0xFF,0xFF
0.674731420000000,,0xFF,0xFF
0.674737000000000,,0xFF,0x00
0.674742560000000,,0xFF,0xFF
0.674759000000000,,0xFF,0xFF
0.674764560000000,,0xFF,0xFF
0.674770140000000,,0xFF,0xFF
0.674775700000000,,0xFF,0xFF
0.674781280000000,,0xFF,0xFF
0.674786860000000,,0xFF,0xFF
0.674792420000000,,0xFF,0xFF
0.674798000000000,,0xFF,0xFF
0.674803560000000,,0xFF,0xFF
0.674809140000000,,0xFF,0xFF
0.674814700000000,,0xFF,0xFF
0.674820280000000,,0xFF,0xFF
0.674825860000000,,0xFF,0xFF
0.674831420000000,,0xFF,0xFF
0.674837000000000,,0xFF,0xFF
0.674842560000000,,0xFF,0xFF
0.674848140000000,,0xFF,0xFE	
0.674853720000000,,0xFF,0x44	Первый байт сектора 0х00000002
0.674864140000000,,0xFF,0x69
0.674867140000000,,0xFF,0x6D
0.674870140000000,,0xFF,0x6B
0.674873140000000,,0xFF,0x61
0.674876140000000,,0xFF,0x4D
0.674879140000000,,0xFF,0x00
0.674882140000000,,0xFF,0x53
0.674885140000000,,0xFF,0x44
0.674888140000000,,0xFF,0x2D
0.674891140000000,,0xFF,0x54
0.674894140000000,,0xFF,0x65
0.674897140000000,,0xFF,0x73
0.674900140000000,,0xFF,0x74
0.674903140000000,,0xFF,0x00
0.674906140000000,,0xFF,0x00
0.674909140000000,,0xFF,0x53
0.674912140000000,,0xFF,0x65
0.674915140000000,,0xFF,0x63
0.674918140000000,,0xFF,0x74
0.674921140000000,,0xFF,0x6F
0.674924140000000,,0xFF,0x72
0.674927140000000,,0xFF,0x30
0.674930140000000,,0xFF,0x78
0.674933140000000,,0xFF,0x30
0.674936140000000,,0xFF,0x30
0.674939140000000,,0xFF,0x30
0.674942140000000,,0xFF,0x30
0.674945140000000,,0xFF,0x30
0.674948140000000,,0xFF,0x30
0.674951140000000,,0xFF,0x30
0.674954140000000,,0xFF,0x32
0.674957140000000,,0xFF,0x00
0.674960140000000,,0xFF,0x00
0.674963140000000,,0xFF,0x00
0.674966140000000,,0xFF,0x00
0.674969140000000,,0xFF,0x00
0.674972140000000,,0xFF,0x00
0.674975140000000,,0xFF,0x00
0.674978140000000,,0xFF,0x00
0.674981140000000,,0xFF,0x00
0.674984140000000,,0xFF,0x00
0.674987140000000,,0xFF,0x00
0.674990140000000,,0xFF,0x00
0.674993140000000,,0xFF,0x00
0.674996140000000,,0xFF,0x00
0.674999140000000,,0xFF,0x00
0.675002140000000,,0xFF,0x00
